,college_names,college_location,overall_score,acceptance_rate,Est_full_price_22_23,Est_price_with_avg_grant,percent_of_student_who_get_grants,graduation_rate,early_career_earnings,avg_price_for_low_income_students,median_sat_act_score,sat_act_required,undergrad_enrollment,percent_of_students_with_need_who_get_grants,percent_of_need_met,percent_of_students_who_get_merit_grants,avg_merit_grant,avg_time_to_a_degree,median_student_debt,percent_earning_more_than_a_high_school_grad
110,Smith College,"Northampton, MA","
                  71.84
              ","
                  32%
              ","
                  $78,000
              ","
                  $30,000
              ","
                  71%
              ","
                  89%
              ","
                  $56,420
              ","$9,220",NA/NA,No,"2,530",97%,100%,8%,"$17,540",4.1 years,"$19,000",71%
111,Winona State University,"Winona, MN","
                  71.66
              ","
                  68%
              ","
                  $23,300
              ","
                  $18,100
              ","
                  91%
              ","
                  62%
              ","
                  $51,350
              ","$11,720",1110/22,No,"6,800",85%,55%,17%,"$2,780",4.4 years,"$22,250",80%
112,The College of Saint Scholastica,"Duluth, MN","
                  71.59
              ","
                  76%
              ","
                  $54,800
              ","
                  $24,500
              ","
                  86%
              ","
                  69%
              ","
                  $58,750
              ","$17,810",NA/24,No,"2,440",65%,73%,9%,"$20,710",4.1 years,"$20,000",83%
113,SUNY Oneonta,"Oneonta, NY","
                  71.55
              ","
                  56%
              ","
                  $27,000
              ","
                  $17,600
              ","
                  65%
              ","
                  76%
              ","
                  $51,980
              ","$11,700",1080/24,No,"6,050",84%,72%,4%,"$3,160",4.1 years,"$19,500",73%
114,Drake University,"Des Moines, IA","
                  71.46
              ","
                  68%
              ","
                  $62,000
              ","
                  $32,000
              ","
                  97%
              ","
                  77%
              ","
                  $63,530
              ","$25,310",1240/28,No,"2,900",97%,79%,31%,"$22,190",4.1 years,"$22,625",82%
115,Truman State University,"Kirksville, MO","
                  71.41
              ","
                  63%
              ","
                  $22,900
              ","
                  $13,300
              ","
                  83%
              ","
                  72%
              ","
                  $50,720
              ","$7,210",1250/28,No,"4,380",95%,84%,42%,"$6,280",4.2 years,"$21,500",69%
116,Villanova University,"Villanova, PA","
                  71.40
              ","
                  28%
              ","
                  $78,000
              ","
                  $40,400
              ","
                  55%
              ","
                  90%
              ","
                  $90,610
              ","$24,910",1400/33,No,"6,780",90%,80%,8%,"$17,560",4 years,"$26,000",91%
117,Illinois State University,"Normal, IL","
                  71.32
              ","
                  82%
              ","
                  $32,600
              ","
                  $22,100
              ","
                  75%
              ","
                  69%
              ","
                  $55,460
              ","$13,780",1120/23,No,"18,200",56%,56%,14%,"$3,560",4.3 years,"$20,000",80%
118,Illinois Wesleyan University,"Bloomington, IL","
                  71.26
              ","
                  61%
              ","
                  $67,500
              ","
                  $34,400
              ","
                  100%
              ","
                  79%
              ","
                  $66,970
              ","$19,290",1220/27,No,"1,620",100%,83%,26%,"$23,610",4.1 years,"$27,000",80%
119,Goshen College,"Goshen, IN","
                  71.15
              ","
                  63%
              ","
                  $51,100
              ","
                  $18,700
              ","
                  94%
              ","
                  69%
              ","
                  $46,190
              ","$14,160",1110/25,No,800,100%,82%,23%,"$17,490",4.1 years,"$21,374",69%
120,University of Utah,"Salt Lake City, UT","
                  71.11
              ","
                  62%
              ","
                  $25,000
              ","
                  $13,600
              ","
                  61%
              ","
                  57%
              ","
                  $60,590
              ","$10,430",1260/26,No,"23,430",86%,59%,34%,"$7,340",4.6 years,"$18,750",73%
121,Judson University,"Elgin, IL","
                  71.06
              ","
                  39%
              ","
                  $45,600
              ","
                  $16,900
              ","
                  70%
              ","
                  63%
              ","
                  $49,210
              ","$17,640",990/22,No,"1,030",70%,48%,19%,"$14,680",4.2 years,"$24,899",70%
122,Manhattan College,"Riverdale, NY","
                  71.06
              ","
                  74%
              ","
                  $68,400
              ","
                  $33,800
              ","
                  97%
              ","
                  74%
              ","
                  $83,120
              ","$26,570",1170/26,No,"3,540",82%,45%,24%,"$14,880",4.2 years,"$26,000",86%
123,University of Wisconsin-Stout,"Menomonie, WI","
                  71.05
              ","
                  91%
              ","
                  $21,200
              ","
                  $15,800
              ","
                  45%
              ","
                  57%
              ","
                  $52,280
              ","$10,070",NA/22,No,"7,180",54%,81%,7%,"$1,940",4.6 years,"$23,825",78%
124,Wabash College,"Crawfordsville, IN","
                  71.04
              ","
                  64%
              ","
                  $61,300
              ","
                  $25,800
              ","
                  100%
              ","
                  71%
              ","
                  $63,430
              ","$16,640",1220/26,No,870,99%,94%,23%,"$29,200",4.1 years,"$27,000",79%
125,Beloit College,"Beloit, WI","
                  70.99
              ","
                  62%
              ","
                  $67,300
              ","
                  $25,800
              ","
                  92%
              ","
                  79%
              ","
                  $50,500
              ","$7,970",1230/27,No,"1,070",99%,95%,32%,"$35,720",4.2 years,"$26,000",60%
126,Martin Luther College,"New Ulm, MN","
                  70.96
              ","
                  84%
              ","
                  $28,800
              ","
                  $22,600
              ","
                  83%
              ","
                  72%
              ","
                  $40,820
              ","$23,660",1200/25,Yes,780,100%,65%,15%,"$2,960",4.5 years,"$19,975",59%
127,Rutgers University-New Brunswick,"New Brunswick, NJ","
                  70.95
              ","
                  61%
              ","
                  $33,900
              ","
                  $18,800
              ","
                  52%
              ","
                  78%
              ","
                  $65,660
              ","$14,940",1320/29,No,"35,760",70%,44%,2%,"$10,930",4.2 years,"$21,980",80%
128,John Brown University,"Siloam Springs, AR","
                  70.82
              ","
                  76%
              ","
                  $42,700
              ","
                  $22,800
              ","
                  76%
              ","
                  65%
              ","
                  $51,790
              ","$18,140",1160/26,No,"1,450",92%,73%,33%,"$12,030",4.2 years,"$21,500",69%
129,Illinois Institute of Technology,"Chicago, IL","
                  70.72
              ","
                  60%
              ","
                  $73,200
              ","
                  $29,700
              ","
                  95%
              ","
                  72%
              ","
                  $77,680
              ","$18,520",1300/29,No,"3,030",100%,80%,32%,"$25,430",4.6 years,"$24,250",85%
130,University of the Pacific,"Stockton, CA","
                  70.66
              ","
                  66%
              ","
                  $70,800
              ","
                  $34,600
              ","
                  91%
              ","
                  69%
              ","
                  $74,210
              ","$22,790",1240/27,No,"3,590",98%,67%,17%,"$17,090",4.4 years,"$19,500",82%
131,Fresno Pacific University,"Fresno, CA","
                  70.65
              ","
                  66%
              ","
                  $46,900
              ","
                  $19,800
              ","
                  84%
              ","
                  66%
              ","
                  $49,070
              ","$17,540",1040/20,No,"2,870",77%,50%,9%,"$10,880",4.2 years,"$23,219",68%
132,Bucknell University,"Lewisburg, PA","
                  70.63
              ","
                  34%
              ","
                  $78,000
              ","
                  $41,600
              ","
                  51%
              ","
                  88%
              ","
                  $88,150
              ","$22,720",1340/30,No,"3,610",89%,94%,8%,"$19,840",4.1 years,"$26,191",85%
133,Florida International University,"Miami, FL","
                  70.56
              ","
                  58%
              ","
                  $24,500
              ","
                  $9,500
              ","
                  74%
              ","
                  57%
              ","
                  $54,500
              ","$3,200",1200/26,Yes,"41,840",83%,41%,6%,"$2,350",4.5 years,"$17,418",71%
134,Stony Brook University,"Stony Brook, NY","
                  70.52
              ","
                  44%
              ","
                  $28,500
              ","
                  $17,400
              ","
                  64%
              ","
                  74%
              ","
                  $66,680
              ","$11,860",1340/29,No,"17,770",88%,65%,11%,"$5,680",4.2 years,"$18,750",77%
135,University of Iowa,"Iowa City, IA","
                  70.52
              ","
                  83%
              ","
                  $26,100
              ","
                  $18,400
              ","
                  68%
              ","
                  72%
              ","
                  $58,270
              ","$13,550",1240/26,No,"22,920",83%,53%,28%,"$5,730",4.3 years,"$22,500",79%
136,University of Richmond,"Richmond, VA","
                  70.50
              ","
                  28%
              ","
                  $74,500
              ","
                  $27,100
              ","
                  72%
              ","
                  87%
              ","
                  $69,310
              ","$8,010",1380/32,No,"3,110",99%,100%,14%,"$31,880",4.1 years,"$20,500",84%
