,college_names,college_location,overall_score,acceptance_rate,Est_full_price_22_23,Est_price_with_avg_grant,percent_of_student_who_get_grants,graduation_rate,early_career_earnings,avg_price_for_low_income_students,median_sat_act_score,sat_act_required,undergrad_enrollment,percent_of_students_with_need_who_get_grants,percent_of_need_met,percent_of_students_who_get_merit_grants,avg_merit_grant,avg_time_to_a_degree,median_student_debt,percent_earning_more_than_a_high_school_grad
288,University of Wyoming,"Laramie, WY","
                  64.75
              ","
                  96%
              ","
                  $21,400
              ","
                  $12,900
              ","
                  76%
              ","
                  55%
              ","
                  $50,690
              ","$6,910",1170/25,No,"9,650",67%,58%,21%,"$3,900",4.5 years,"$18,318",70%
289,Endicott College,"Beverly, MA","
                  64.72
              ","
                  69%
              ","
                  $56,300
              ","
                  $39,800
              ","
                  87%
              ","
                  74%
              ","
                  $60,850
              ","$26,400",NA/NA,No,"3,000",98%,66%,29%,"$11,500",4 years,"$27,000",75%
290,University of Vermont,"Burlington, VT","
                  64.65
              ","
                  67%
              ","
                  $36,900
              ","
                  $21,400
              ","
                  82%
              ","
                  76%
              ","
                  $58,250
              ","$12,020",1270/29,No,"10,700",93%,62%,32%,"$15,390",4.2 years,"$21,111",69%
291,University of North Carolina at Greensboro,"Greensboro, NC","
                  64.57
              ","
                  82%
              ","
                  $20,700
              ","
                  $10,400
              ","
                  63%
              ","
                  53%
              ","
                  $44,200
              ","$7,650",1100/23,No,"16,100",86%,72%,3%,"$4,350",4.5 years,"$23,000",63%
292,University of Maryland-Baltimore County,"Baltimore, MD","
                  64.53
              ","
                  61%
              ","
                  $27,900
              ","
                  $17,800
              ","
                  59%
              ","
                  69%
              ","
                  $61,750
              ","$8,570",1270/27,No,"10,960",82%,59%,20%,"$7,080",4.4 years,"$19,500",77%
293,Connecticut College,"New London, CT","
                  64.49
              ","
                  37%
              ","
                  $79,500
              ","
                  $42,700
              ","
                  94%
              ","
                  81%
              ","
                  $71,240
              ","$13,180",1380/32,No,"1,820",97%,100%,35%,"$15,940",4.1 years,"$23,250",74%
294,University of Kansas,"Lawrence, KS","
                  64.49
              ","
                  93%
              ","
                  $26,200
              ","
                  $21,200
              ","
                  66%
              ","
                  64%
              ","
                  $56,390
              ","$15,670",NA/26,No,"19,000",80%,77%,25%,"$7,290",4.3 years,"$21,000",75%
295,Radford University,"Radford, VA","
                  64.41
              ","
                  75%
              ","
                  $26,000
              ","
                  $16,600
              ","
                  82%
              ","
                  59%
              ","
                  $50,380
              ","$11,420",NA/NA,No,"7,210",80%,74%,10%,"$3,410",4.3 years,"$23,249",72%
296,Auburn University,"Auburn, AL","
                  64.40
              ","
                  81%
              ","
                  $33,600
              ","
                  $25,400
              ","
                  57%
              ","
                  78%
              ","
                  $56,930
              ","$17,870",1240/28,Yes,"24,210",75%,45%,22%,"$7,900",4.4 years,"$21,500",78%
297,Western Carolina University,"Cullowhee, NC","
                  64.40
              ","
                  69%
              ","
                  $19,400
              ","
                  $14,000
              ","
                  68%
              ","
                  61%
              ","
                  $43,370
              ","$9,310",1110/23,No,"10,290",92%,70%,4%,"$3,180",4.4 years,"$22,492",66%
298,SUNY College at Geneseo,"Geneseo, NY","
                  64.39
              ","
                  65%
              ","
                  $27,600
              ","
                  $19,700
              ","
                  66%
              ","
                  80%
              ","
                  $56,240
              ","$12,580",1220/26,No,"5,270",75%,44%,7%,"$3,720",4.1 years,"$20,047",78%
299,George Washington University,"Washington, DC","
                  64.36
              ","
                  41%
              ","
                  $78,400
              ","
                  $42,600
              ","
                  65%
              ","
                  82%
              ","
                  $80,610
              ","$17,670",1380/32,No,"12,030",83%,92%,28%,"$21,830",4.1 years,"$20,500",84%
300,SUNY College at Oswego,"Oswego, NY","
                  64.30
              ","
                  54%
              ","
                  $26,000
              ","
                  $17,300
              ","
                  83%
              ","
                  63%
              ","
                  $49,220
              ","$10,090",1160/24,No,"6,880",91%,73%,14%,"$3,790",4.2 years,"$21,500",72%
301,Wagner College,"Staten Island, NY","
                  64.29
              ","
                  71%
              ","
                  $70,100
              ","
                  $33,700
              ","
                  99%
              ","
                  69%
              ","
                  $69,380
              ","$27,350",NA/NA,No,"1,710",100%,69%,24%,"$21,860",4.1 years,"$25,000",78%
302,Franciscan University of Steubenville,"Steubenville, OH","
                  64.26
              ","
                  77%
              ","
                  $43,300
              ","
                  $26,600
              ","
                  94%
              ","
                  75%
              ","
                  $43,770
              ","$16,790",1200/26,No,"2,140",100%,69%,32%,"$8,520",4.1 years,"$23,250",67%
303,Syracuse University,"Syracuse, NY","
                  64.24
              ","
                  44%
              ","
                  $77,800
              ","
                  $49,800
              ","
                  78%
              ","
                  82%
              ","
                  $71,470
              ","$17,250",1280/28,No,"14,850",96%,95%,35%,"$11,350",4.2 years,"$26,952",82%
304,Seattle Pacific University,"Seattle, WA","
                  64.19
              ","
                  91%
              ","
                  $66,500
              ","
                  $30,000
              ","
                  95%
              ","
                  67%
              ","
                  $57,100
              ","$20,770",1140/23,No,"2,710",99%,77%,13%,"$25,730",4.3 years,"$25,000",77%
305,Eastern Mennonite University,"Harrisonburg, VA","
                  64.18
              ","
                  65%
              ","
                  $56,000
              ","
                  $24,000
              ","
                  85%
              ","
                  60%
              ","
                  $42,700
              ","$18,600",1100/23,No,970,96%,69%,19%,"$17,940",4.2 years,"$25,000",71%
306,University of Saint Joseph,"West Hartford, CT","
                  64.16
              ","
                  77%
              ","
                  $58,000
              ","
                  $25,500
              ","
                  93%
              ","
                  65%
              ","
                  $46,100
              ","$20,320",1120/NA,No,870,97%,N/A,N/A,N/A,4.2 years,"$27,000",62%
307,Rhode Island College,"Providence, RI","
                  64.08
              ","
                  78%
              ","
                  $26,100
              ","
                  $11,100
              ","
                  76%
              ","
                  50%
              ","
                  $49,250
              ","$9,420",980/18,Yes,"6,290",80%,62%,3%,"$3,200",4.7 years,"$21,002",65%
308,Temple University,"Philadelphia, PA","
                  64.05
              ","
                  60%
              ","
                  $36,700
              ","
                  $24,600
              ","
                  77%
              ","
                  72%
              ","
                  $56,800
              ","$18,170",NA/NA,No,"28,310",91%,61%,14%,"$7,520",4.3 years,"$24,499",76%
309,Bethel University,"Mishawaka, IN","
                  64.03
              ","
                  94%
              ","
                  $44,500
              ","
                  $20,400
              ","
                  85%
              ","
                  68%
              ","
                  $43,420
              ","$13,840",1060/22,No,"1,170",N/A,N/A,18%,"$18,090",4.1 years,"$24,656",67%
310,University of Evansville,"Evansville, IN","
                  63.94
              ","
                  71%
              ","
                  $56,700
              ","
                  $24,500
              ","
                  85%
              ","
                  73%
              ","
                  $50,420
              ","$17,070",1190/27,No,"1,880",96%,85%,28%,"$22,380",4.2 years,"$25,183",74%
311,University of Massachusetts-Boston,"Boston, MA","
                  63.93
              ","
                  76%
              ","
                  $35,800
              ","
                  $18,200
              ","
                  69%
              ","
                  48%
              ","
                  $56,060
              ","$13,730",NA/NA,No,"12,190",88%,83%,9%,"$7,000",4.6 years,"$22,987",74%
312,University of Missouri-St Louis,"Saint Louis, MO","
                  63.90
              ","
                  73%
              ","
                  $27,500
              ","
                  $10,600
              ","
                  45%
              ","
                  52%
              ","
                  $48,360
              ","$9,990",1130/24,No,"6,700",87%,61%,7%,"$5,350",4.5 years,"$20,500",70%
313,Salve Regina University,"Newport, RI","
                  63.74
              ","
                  74%
              ","
                  $64,900
              ","
                  $37,600
              ","
                  95%
              ","
                  72%
              ","
                  $68,300
              ","$27,410",NA/NA,No,"2,140",100%,71%,24%,"$17,750",4.1 years,"$27,000",74%
314,Christopher Newport University,"Newport News, VA","
                  63.73
              ","
                  72%
              ","
                  $32,600
              ","
                  $26,800
              ","
                  55%
              ","
                  73%
              ","
                  $55,030
              ","$15,860",1200/25,No,"4,830",74%,72%,18%,"$3,700",4.1 years,"$24,739",74%
315,University of Oklahoma,"Norman, OK","
                  63.72
              ","
                  80%
              ","
                  $31,200
              ","
                  $23,100
              ","
                  75%
              ","
                  66%
              ","
                  $57,070
              ","$16,100",1210/26,No,"21,330",61%,79%,10%,"$2,980",4.4 years,"$20,718",75%
316,Saint Louis University,"Saint Louis, MO","
                  63.63
              ","
                  58%
              ","
                  $66,700
              ","
                  $29,400
              ","
                  81%
              ","
                  77%
              ","
                  $65,930
              ","$15,140",1280/28,No,"7,130",97%,80%,33%,"$20,610",4.1 years,"$25,000",82%
317,Valparaiso University,"Valparaiso, IN","
                  63.53
              ","
                  86%
              ","
                  $60,400
              ","
                  $23,800
              ","
                  98%
              ","
                  69%
              ","
                  $55,840
              ","$19,550",1180/26,No,"2,970",100%,92%,21%,"$21,160",4.2 years,"$27,000",78%
318,Waynesburg University,"Waynesburg, PA","
                  63.52
              ","
                  93%
              ","
                  $41,000
              ","
                  $21,200
              ","
                  96%
              ","
                  66%
              ","
                  $53,180
              ","$17,100",1050/21,Yes,"1,270",82%,81%,19%,"$11,840",4.2 years,"$27,000",77%
319,College of Our Lady of the Elms,"Chicopee, MA","
                  63.49
              ","
                  75%
              ","
                  $57,500
              ","
                  $26,800
              ","
                  87%
              ","
                  67%
              ","
                  $51,530
              ","$21,530",1050/21,No,"1,110",100%,60%,6%,"$12,110",4.2 years,"$25,000",63%
320,Creighton University,"Omaha, NE","
                  63.49
              ","
                  74%
              ","
                  $60,300
              ","
                  $34,200
              ","
                  91%
              ","
                  78%
              ","
                  $66,520
              ","$23,400",1260/26,No,"4,430",95%,81%,43%,"$20,020",4.1 years,"$24,369",82%
321,Niagara University,"Niagara, NY","
                  63.49
              ","
                  89%
              ","
                  $51,300
              ","
                  $20,200
              ","
                  90%
              ","
                  70%
              ","
                  $52,280
              ","$13,840",1130/24,No,"2,750",98%,82%,18%,"$17,000",4.1 years,"$26,000",73%
322,Tennessee Technological University,"Cookeville, TN","
                  63.49
              ","
                  79%
              ","
                  $25,900
              ","
                  $17,500
              ","
                  87%
              ","
                  54%
              ","
                  $43,330
              ","$11,560",1130/24,Yes,"8,740",55%,60%,17%,"$9,260",4.5 years,"$16,144",65%
323,Milligan University,"Milligan, TN","
                  63.48
              ","
                  99%
              ","
                  $49,500
              ","
                  $22,200
              ","
                  92%
              ","
                  69%
              ","
                  $44,070
              ","$15,820",1180/25,No,800,100%,80%,22%,"$14,530",4.1 years,"$25,000",70%
324,Yeshiva University,"New York, NY","
                  63.48
              ","
                  55%
              ","
                  $67,700
              ","
                  $37,600
              ","
                  86%
              ","
                  80%
              ","
                  $64,630
              ","$24,190",1270/27,No,"2,710",97%,88%,31%,"$21,340",4.1 years,"$19,318",73%
325,Coe College,"Cedar Rapids, IA","
                  63.47
              ","
                  63%
              ","
                  $62,800
              ","
                  $22,300
              ","
                  96%
              ","
                  65%
              ","
                  $52,970
              ","$14,370",NA/NA,No,"1,380",100%,86%,16%,"$29,030",4.1 years,"$27,000",75%
326,University of South Carolina-Columbia,"Columbia, SC","
                  63.45
              ","
                  69%
              ","
                  $29,900
              ","
                  $23,000
              ","
                  82%
              ","
                  77%
              ","
                  $54,110
              ","$12,130",1280/28,No,"27,070",43%,72%,37%,"$6,700",4.2 years,"$22,303",75%
327,DePaul University,"Chicago, IL","
                  63.41
              ","
                  68%
              ","
                  $61,500
              ","
                  $35,200
              ","
                  87%
              ","
                  72%
              ","
                  $63,490
              ","$27,120",NA/NA,No,"14,010",97%,67%,20%,"$16,260",4.2 years,"$24,115",78%
328,Vanguard University of Southern California,"Costa Mesa, CA","
                  63.38
              ","
                  49%
              ","
                  $51,600
              ","
                  $22,900
              ","
                  96%
              ","
                  64%
              ","
                  $48,780
              ","$16,600",1070/21,Yes,"1,910",59%,N/A,99%,"$10,740",4.1 years,"$22,999",65%
329,Illinois College,"Jacksonville, IL","
                  63.37
              ","
                  78%
              ","
                  $46,800
              ","
                  $18,500
              ","
                  99%
              ","
                  70%
              ","
                  $46,510
              ","$12,440",NA/NA,No,"1,040",100%,87%,16%,"$19,910",4.1 years,"$27,000",70%
330,Unity College,"Unity, ME","
                  63.35
              ","
                  98%
              ","
                  $26,000
              ","
                  $28,600
              ","
                  90%
              ","
                  66%
              ","
                  $39,080
              ","$21,490",NA/NA,No,780,100%,72%,15%,"$9,600",4.1 years,"$27,000",49%
331,University of Massachusetts-Lowell,"Lowell, MA","
                  63.34
              ","
                  73%
              ","
                  $32,600
              ","
                  $20,200
              ","
                  63%
              ","
                  62%
              ","
                  $65,580
              ","$12,500",1240/27,No,"13,600",86%,87%,16%,"$7,310",4.4 years,"$24,266",78%
332,Susquehanna University,"Selinsgrove, PA","
                  63.30
              ","
                  72%
              ","
                  $69,400
              ","
                  $28,100
              ","
                  98%
              ","
                  71%
              ","
                  $57,790
              ","$17,040",NA/NA,No,"2,200",100%,85%,20%,"$30,930",4 years,"$27,000",73%
333,Edgewood College,"Madison, WI","
                  63.27
              ","
                  72%
              ","
                  $48,400
              ","
                  $27,700
              ","
                  85%
              ","
                  62%
              ","
                  $52,540
              ","$21,350",1080/23,No,"1,330",98%,75%,19%,"$7,860",4.4 years,"$24,431",78%
334,Salem State University,"Salem, MA","
                  63.26
              ","
                  86%
              ","
                  $30,100
              ","
                  $20,800
              ","
                  73%
              ","
                  57%
              ","
                  $46,280
              ","$14,560",1090/21,No,"5,840",75%,58%,4%,"$1,770",4.3 years,"$25,000",73%
335,Miami University-Oxford,"Oxford, OH","
                  63.16
              ","
                  80%
              ","
                  $35,500
              ","
                  $25,700
              ","
                  68%
              ","
                  79%
              ","
                  $54,650
              ","$13,960",1290/28,No,"17,040",94%,57%,39%,"$11,040",4.2 years,"$23,522",68%
336,Westminster College,"New Wilmington, PA","
                  63.04
              ","
                  67%
              ","
                  $52,900
              ","
                  $22,300
              ","
                  96%
              ","
                  71%
              ","
                  $49,000
              ","$15,690",1080/23,No,"1,120",98%,85%,15%,"$27,230",4.2 years,"$26,000",72%
337,Grand View University,"Des Moines, IA","
                  63.02
              ","
                  96%
              ","
                  $44,700
              ","
                  $20,500
              ","
                  94%
              ","
                  50%
              ","
                  $49,450
              ","$17,730",1020/20,Yes,"1,730",91%,79%,18%,"$10,740",4.2 years,"$23,000",73%
338,Ball State University,"Muncie, IN","
                  62.99
              ","
                  77%
              ","
                  $25,700
              ","
                  $13,900
              ","
                  69%
              ","
                  60%
              ","
                  $45,930
              ","$8,270",NA/NA,No,"15,610",66%,74%,16%,"$7,710",4.2 years,"$23,250",70%
339,Florida Atlantic University,"Boca Raton, FL","
                  62.98
              ","
                  63%
              ","
                  $25,500
              ","
                  $12,100
              ","
                  61%
              ","
                  51%
              ","
                  $50,480
              ","$6,730",1160/24,Yes,"23,420",81%,55%,2%,"$1,850",4.5 years,"$17,500",70%
340,Frostburg State University,"Frostburg, MD","
                  62.98
              ","
                  80%
              ","
                  $25,900
              ","
                  $16,900
              ","
                  65%
              ","
                  54%
              ","
                  $49,230
              ","$9,620",1030/20,No,"4,090",73%,60%,14%,"$3,390",4.6 years,"$22,250",65%
341,Worcester State University,"Worcester, MA","
                  62.98
              ","
                  66%
              ","
                  $27,000
              ","
                  $17,100
              ","
                  77%
              ","
                  56%
              ","
                  $57,310
              ","$12,550",NA/NA,No,"4,920",83%,78%,3%,"$2,410",4.4 years,"$20,000",69%
342,Hanover College,"Hanover, IN","
                  62.97
              ","
                  65%
              ","
                  $56,200
              ","
                  $23,600
              ","
                  100%
              ","
                  72%
              ","
                  $49,540
              ","$13,020",1140/24,No,"1,070",100%,91%,25%,"$25,700",4 years,"$27,000",75%
343,Brandeis University,"Waltham, MA","
                  62.92
              ","
                  30%
              ","
                  $78,300
              ","
                  $43,500
              ","
                  64%
              ","
                  87%
              ","
                  $70,330
              ","$13,390",1440/32,No,"3,680",95%,97%,14%,"$14,480",4.1 years,"$25,797",74%
344,Quinnipiac University,"Hamden, CT","
                  62.92
              ","
                  70%
              ","
                  $70,900
              ","
                  $44,200
              ","
                  91%
              ","
                  77%
              ","
                  $75,580
              ","$33,760",NA/NA,No,"6,820",98%,66%,31%,"$19,680",4.1 years,"$26,000",86%
345,Denison University,"Granville, OH","
                  62.89
              ","
                  29%
              ","
                  $74,900
              ","
                  $42,000
              ","
                  96%
              ","
                  85%
              ","
                  $57,440
              ","$15,240",1310/29,No,"2,260",100%,100%,39%,"$18,040",4.1 years,"$25,000",73%
346,Mount Mercy University,"Cedar Rapids, IA","
                  62.88
              ","
                  66%
              ","
                  $52,300
              ","
                  $26,600
              ","
                  100%
              ","
                  71%
              ","
                  $50,050
              ","$19,250",NA/21,No,"1,430",97%,73%,13%,"$13,970",4.1 years,"$23,250",79%
347,Roberts Wesleyan College,"Rochester, NY","
                  62.86
              ","
                  67%
              ","
                  $50,000
              ","
                  $24,700
              ","
                  88%
              ","
                  68%
              ","
                  $45,180
              ","$19,080",1150/23,No,"1,260",99%,81%,21%,"$16,310",4.1 years,"$22,932",72%
348,"The University of Tennessee, Knoxville","Knoxville, TN","
                  62.85
              ","
                  79%
              ","
                  $33,400
              ","
                  $22,300
              ","
                  76%
              ","
                  72%
              ","
                  $52,680
              ","$10,430",1240/27,No,"23,150",87%,57%,20%,"$6,720",4.3 years,"$20,500",72%
349,Misericordia University,"Dallas, PA","
                  62.83
              ","
                  86%
              ","
                  $54,000
              ","
                  $29,200
              ","
                  90%
              ","
                  69%
              ","
                  $55,960
              ","$20,270",1140/25,No,"1,940",100%,84%,13%,"$16,980",4.1 years,"$27,000",79%
350,Saint Norbert College,"De Pere, WI","
                  62.76
              ","
                  80%
              ","
                  $55,300
              ","
                  $29,400
              ","
                  96%
              ","
                  70%
              ","
                  $52,470
              ","$22,360",1160/24,No,"1,970",97%,78%,29%,"$16,340",4.1 years,"$26,912",81%
351,Augustana University,"Sioux Falls, SD","
                  62.75
              ","
                  67%
              ","
                  $53,300
              ","
                  $25,700
              ","
                  96%
              ","
                  70%
              ","
                  $50,140
              ","$19,300",1230/26,No,"1,770",98%,80%,37%,"$18,010",4.2 years,"$25,000",75%
352,University of Nevada-Reno,"Reno, NV","
                  62.74
              ","
                  88%
              ","
                  $27,000
              ","
                  $17,300
              ","
                  74%
              ","
                  61%
              ","
                  $55,360
              ","$11,800",1180/24,Yes,"16,920",86%,56%,12%,"$3,570",4.4 years,"$19,500",72%
353,Saint Mary's College of California,"Moraga, CA","
                  62.71
              ","
                  81%
              ","
                  $72,400
              ","
                  $42,700
              ","
                  97%
              ","
                  72%
              ","
                  $67,740
              ","$28,780",1150/25,No,"2,630",85%,74%,26%,"$19,610",4.2 years,"$24,000",81%
354,University of Pittsburgh,"Pittsburgh, PA","
                  62.71
              ","
                  57%
              ","
                  $36,100
              ","
                  $23,600
              ","
                  49%
              ","
                  82%
              ","
                  $57,960
              ","$15,080",1350/31,No,"19,020",74%,57%,5%,"$9,030",4.2 years,"$24,550",77%
355,Hood College,"Frederick, MD","
                  62.68
              ","
                  65%
              ","
                  $61,600
              ","
                  $25,100
              ","
                  97%
              ","
                  66%
              ","
                  $51,780
              ","$16,220",NA/NA,No,"1,110",100%,75%,18%,"$22,490",4.2 years,"$25,000",69%
356,University of Rhode Island,"Kingston, RI","
                  62.54
              ","
                  75%
              ","
                  $32,900
              ","
                  $16,200
              ","
                  69%
              ","
                  64%
              ","
                  $66,480
              ","$12,180",1150/26,No,"13,680",88%,55%,12%,"$7,830",4.3 years,"$22,214",78%
357,University of San Francisco,"San Francisco, CA","
                  62.53
              ","
                  64%
              ","
                  $75,900
              ","
                  $45,200
              ","
                  82%
              ","
                  75%
              ","
                  $78,030
              ","$32,020",1230/26,No,"6,510",98%,65%,26%,"$19,580",4.1 years,"$23,250",83%
358,"California State Polytechnic University, Humboldt","Arcata, CA","
                  62.51
              ","
                  92%
              ","
                  $26,300
              ","
                  $15,900
              ","
                  72%
              ","
                  52%
              ","
                  $42,730
              ","$11,470",1090/21,No,"6,560",95%,75%,10%,"$1,250",4.7 years,"$17,993",56%
359,University of Mississippi,"University, MS","
                  62.49
              ","
                  88%
              ","
                  $26,500
              ","
                  $14,300
              ","
                  71%
              ","
                  63%
              ","
                  $48,260
              ","$7,760",1140/25,No,"16,930",87%,76%,28%,"$11,320",4.3 years,"$20,335",66%
360,Sam Houston State University,"Huntsville, TX","
                  62.47
              ","
                  83%
              ","
                  $24,300
              ","
                  $14,700
              ","
                  75%
              ","
                  52%
              ","
                  $50,130
              ","$11,210",1070/21,No,"18,810",83%,73%,3%,"$3,000",4.5 years,"$22,020",70%
361,Ursinus College,"Collegeville, PA","
                  62.43
              ","
                  79%
              ","
                  $74,100
              ","
                  $33,200
              ","
                  97%
              ","
                  79%
              ","
                  $66,260
              ","$23,150",1250/27,No,"1,460",99%,81%,23%,"$25,980",4.1 years,"$27,000",77%
362,Washington College,"Chestertown, MD","
                  62.43
              ","
                  92%
              ","
                  $67,000
              ","
                  $31,200
              ","
                  95%
              ","
                  68%
              ","
                  $64,850
              ","$14,640",NA/NA,No,"1,270",57%,57%,30%,"$24,510",4 years,"$27,000",77%
363,Canisius College,"Buffalo, NY","
                  62.39
              ","
                  83%
              ","
                  $45,700
              ","
                  $19,900
              ","
                  93%
              ","
                  68%
              ","
                  $53,400
              ","$12,990",1150/24,No,"2,140",99%,71%,26%,"$12,700",4.1 years,"$23,750",74%
364,Wheaton College,"Norton, MA","
                  62.37
              ","
                  74%
              ","
                  $74,800
              ","
                  $30,100
              ","
                  98%
              ","
                  78%
              ","
                  $58,730
              ","$19,560",NA/NA,No,"1,760",100%,83%,19%,"$27,170",4.1 years,"$26,816",73%
365,Monmouth University,"West Long Branch, NJ","
                  62.36
              ","
                  77%
              ","
                  $62,300
              ","
                  $33,400
              ","
                  98%
              ","
                  69%
              ","
                  $59,510
              ","$18,110",1150/24,No,"4,430",72%,69%,24%,"$9,960",4.2 years,"$26,899",79%
366,Hobart William Smith Colleges,"Geneva, NY","
                  62.34
              ","
                  66%
              ","
                  $78,700
              ","
                  $40,400
              ","
                  97%
              ","
                  78%
              ","
                  $62,980
              ","$14,230",1270/28,No,"2,040",100%,84%,29%,"$23,630",4.1 years,"$27,000",80%
367,Buena Vista University,"Storm Lake, IA","
                  62.25
              ","
                  57%
              ","
                  $51,000
              ","
                  $19,300
              ","
                  87%
              ","
                  52%
              ","
                  $44,700
              ","$13,480",1020/22,No,"1,410",100%,85%,12%,"$20,820",4.1 years,"$25,000",68%
368,University of Oregon,"Eugene, OR","
                  62.23
              ","
                  82%
              ","
                  $31,200
              ","
                  $18,600
              ","
                  57%
              ","
                  72%
              ","
                  $53,470
              ","$13,670",1210/25,No,"18,740",72%,61%,17%,"$6,800",4.3 years,"$20,500",70%
369,The Catholic University of America,"Washington, DC","
                  62.17
              ","
                  85%
              ","
                  $71,300
              ","
                  $38,300
              ","
                  90%
              ","
                  76%
              ","
                  $71,800
              ","$25,750",NA/NA,No,"3,250",98%,79%,38%,"$24,490",4.1 years,"$26,000",80%
370,University of North Carolina Wilmington,"Wilmington, NC","
                  62.17
              ","
                  65%
              ","
                  $26,500
              ","
                  $19,000
              ","
                  50%
              ","
                  72%
              ","
                  $49,740
              ","$11,710",1250/25,No,"14,420",80%,45%,2%,"$3,860",4.2 years,"$20,000",71%
371,Kenyon College,"Gambier, OH","
                  62.16
              ","
                  34%
              ","
                  $73,500
              ","
                  $43,200
              ","
                  66%
              ","
                  89%
              ","
                  $62,000
              ","$14,960",1370/31,No,"1,730",100%,100%,24%,"$14,230",4 years,"$19,000",69%
372,William Paterson University of New Jersey,"Wayne, NJ","
                  62.16
              ","
                  75%
              ","
                  $32,200
              ","
                  $18,000
              ","
                  64%
              ","
                  51%
              ","
                  $51,510
              ","$16,740",NA/NA,No,"8,460",69%,N/A,8%,"$7,780",4.4 years,"$23,000",70%
373,Geneva College,"Beaver Falls, PA","
                  62.10
              ","
                  53%
              ","
                  $43,900
              ","
                  $21,100
              ","
                  94%
              ","
                  64%
              ","
                  $46,840
              ","$15,580",1130/24,No,"1,180",59%,44%,8%,"$14,690",4.1 years,"$25,214",63%
374,McDaniel College,"Westminster, MD","
                  62.10
              ","
                  92%
              ","
                  $62,800
              ","
                  $25,300
              ","
                  100%
              ","
                  67%
              ","
                  $55,110
              ","$20,220",NA/NA,No,"1,670",100%,84%,17%,"$16,020",4.2 years,"$25,000",72%
375,Malone University,"Canton, OH","
                  61.97
              ","
                  71%
              ","
                  $47,900
              ","
                  $20,200
              ","
                  87%
              ","
                  57%
              ","
                  $45,530
              ","$13,820",1050/23,Yes,"1,060",99%,79%,14%,"$12,870",4.2 years,"$27,000",66%
376,Moravian College,"Bethlehem, PA","
                  61.88
              ","
                  75%
              ","
                  $67,100
              ","
                  $31,600
              ","
                  90%
              ","
                  68%
              ","
                  $61,260
              ","$21,240",NA/NA,No,"2,010",97%,78%,17%,"$21,760",4.1 years,"$27,000",77%
377,New Jersey City University,"Jersey City, NJ","
                  61.88
              ","
                  95%
              ","
                  $36,700
              ","
                  $14,800
              ","
                  78%
              ","
                  38%
              ","
                  $46,610
              ","$12,150",970/NA,No,"5,960",81%,47%,2%,"$8,310",4.8 years,"$18,233",66%
378,Pacific Lutheran University,"Tacoma, WA","
                  61.87
              ","
                  86%
              ","
                  $63,500
              ","
                  $26,800
              ","
                  96%
              ","
                  67%
              ","
                  $57,050
              ","$14,530",1190/27,No,"2,650",79%,88%,4%,"$14,120",4.1 years,"$23,000",77%
379,Framingham State University,"Framingham, MA","
                  61.84
              ","
                  74%
              ","
                  $28,700
              ","
                  $20,400
              ","
                  60%
              ","
                  56%
              ","
                  $54,520
              ","$13,960",1050/22,No,"3,750",83%,53%,5%,"$1,120",4.3 years,"$25,000",72%
380,Madonna University,"Livonia, MI","
                  61.78
              ","
                  75%
              ","
                  $40,600
              ","
                  $18,700
              ","
                  75%
              ","
                  58%
              ","
                  $50,360
              ","$15,670",1030/21,No,"2,340",88%,56%,11%,"$2,430",4.5 years,"$24,500",73%
381,National Louis University,"Chicago, IL","
                  61.68
              ","
                  98%
              ","
                  $33,200
              ","
                  $15,600
              ","
                  82%
              ","
                  22%
              ","
                  $45,400
              ","$14,190",NA/NA,No,"3,280",89%,43%,6%,"$5,610",5 years,"$20,613",63%
382,Bridgewater State University,"Bridgewater, MA","
                  61.48
              ","
                  88%
              ","
                  $29,500
              ","
                  $18,500
              ","
                  58%
              ","
                  59%
              ","
                  $52,090
              ","$13,250",1060/23,No,"9,200",76%,70%,3%,"$3,610",4.5 years,"$24,505",68%
383,Merrimack College,"North Andover, MA","
                  61.44
              ","
                  82%
              ","
                  $65,700
              ","
                  $36,500
              ","
                  93%
              ","
                  71%
              ","
                  $76,390
              ","$27,340",NA/NA,No,"3,960",100%,67%,23%,"$15,920",4.1 years,"$27,000",82%
384,SUNY at Fredonia,"Fredonia, NY","
                  61.41
              ","
                  71%
              ","
                  $25,600
              ","
                  $15,400
              ","
                  84%
              ","
                  62%
              ","
                  $45,310
              ","$10,030",1100/22,No,"4,190",79%,62%,11%,"$3,700",4.2 years,"$23,300",70%
385,Longwood University,"Farmville, VA","
                  61.36
              ","
                  90%
              ","
                  $30,500
              ","
                  $22,600
              ","
                  78%
              ","
                  68%
              ","
                  $45,950
              ","$14,070",1060/21,No,"3,620",69%,74%,12%,"$4,240",4.3 years,"$25,000",72%
386,The College of Wooster,"Wooster, OH","
                  61.33
              ","
                  55%
              ","
                  $70,600
              ","
                  $29,500
              ","
                  96%
              ","
                  75%
              ","
                  $51,870
              ","$12,640",1270/28,No,"1,940",98%,88%,30%,"$26,470",4.1 years,"$26,000",70%
387,Lebanon Valley College,"Annville, PA","
                  61.31
              ","
                  80%
              ","
                  $64,000
              ","
                  $29,500
              ","
                  95%
              ","
                  72%
              ","
                  $53,370
              ","$23,260",1160/24,No,"1,670",98%,85%,16%,"$25,400",4.1 years,"$27,000",80%
