,company_names_lst,company_code_lst,market_cap_lst,industries_for_company_lst,overall_rating,num_reviews_dist,work_life_balance,compensation_benefits,job_security_advancements,management,culture
79,Zoetis,ZTS,$83.76 B,"['Pharmaceuticals', 'Biotech']",3.7,"['110', '101', '70', '37', '25']",3.6,3.9,3.2,3.1,3.3
80,Netflix,NFLX,$83.06 B,"['', 'Internet', 'Tech']",3.9,"['286', '200', '117', '40', '48']",3.7,4.0,3.2,3.5,3.8
81,Boeing,BA,$82.27 B,"['Aircraft manufacturers', 'Aerospace', 'Dow jones', 'Manufacturing']",3.9,"['3.3K', '2.9K', '1.7K', '485', '405']",3.8,4.1,3.4,3.3,3.5
82,Duke Energy,DUK,$81.54 B,"['Energy', 'Electricity', 'Oil&Gas', 'Utility companies']",3.8,"['597', '543', '287', '129', '101']",3.6,3.9,3.4,3.4,3.6
83,Applied Materials,AMAT,$79.33 B,"['Semiconductors', 'Tech', 'Tech Hardware']",3.9,"['310', '374', '195', '53', '40']",3.5,3.8,3.3,3.4,3.6
84,Gilead Sciences,GILD,$78.82 B,"['Pharmaceuticals', 'Biotech']",3.6,"['147', '158', '85', '43', '62']",3.3,4.0,3.2,3.1,3.3
85,Marsh & McLennan Companies,MMC,$78.09 B,"['Insurance', 'Professional services']",3.7,"['322', '309', '208', '86', '72']",3.7,3.6,3.2,3.3,3.5
86,Analog Devices,ADI,$77.93 B,"['Semiconductors', 'Tech', 'Manufacturing']",3.9,"['274', '275', '160', '51', '33']",3.8,3.8,3.5,3.5,3.7
87,Charter Communications,CHTR,$77.81 B,['Telecommunication'],3.3,"['4K', '4.5K', '4.3K', '2K', '2.4K']",3.1,3.7,3.0,3.0,3.1
88,Stryker Corporation,SYK,$75.96 B,['devices'],3.8,"['706', '561', '295', '141', '136']",3.5,3.8,3.3,3.3,3.6
89,Southern Company,SO,$75.64 B,"['Energy', 'Oil&Gas', 'Electricity', 'Utility companies']",4.0,"['185', '145', '65', '18', '31']",3.8,3.9,3.4,3.5,3.7
90,Vertex Pharmaceuticals,VRTX,$75.26 B,"['Pharmaceuticals', 'Biotech']",3.7,"['87', '82', '46', '17', '30']",3.5,3.5,3.2,3.3,3.5
91,Altria Group,MO,$75.17 B,['Tobacco'],4.0,"['255', '174', '98', '30', '23']",3.9,4.4,3.5,3.5,3.7
92,CME Group,CME,$75.08 B,"['Stock exchanges', 'Financial services', 'Stock/Crypto exchanges']",4.1,"['102', '86', '40', '10', '8']",3.9,4.0,3.4,3.5,3.7
93,Intuitive Surgical,ISRG,$74.95 B,['devices'],3.7,"['64', '48', '31', '18', '15']",3.3,4.0,3.3,3.2,3.5
94,Northrop Grumman,NOC,$74.68 B,"['Aerospace', 'Defense contractors']",4.0,"['2.4K', '2.2K', '1.1K', '328', '241']",3.9,4.0,3.5,3.5,3.7
95,Crown Castle,CCI,$74.22 B,"['Real estate', 'Investment', 'REITs', 'Telecommunication', 'Infrastructure']",3.7,"['119', '79', '59', '33', '27']",3.7,3.8,3.1,3.2,3.6
96,3M,MMM,$73.24 B,"['Dow jones', 'Gloves & PPE']",3.9,"['1.9K', '1.5K', '779', '281', '298']",3.7,3.9,3.4,3.4,3.7
97,Booking.com,BKNG,$71.88 B,"['Internet', 'Travel', 'Online Travel', 'Tech']",3.7,"['311', '304', '173', '79', '84']",3.6,3.7,3.3,3.2,3.8
98,Progressive,PGR,$70.41 B,['Insurance'],3.7,"['1.4K', '1.1K', '837', '350', '417']",3.3,3.8,3.5,3.3,3.7
99,"Moderna
",MRNA,$70.09 B,"['Pharmaceuticals', 'mRNA therapeutics', 'Biotech']",3.7,"['14', '25', '10', '5', '3']",3.3,3.7,3.1,3.1,3.3
